PRODUCT_CODE,PRODUCT_NAME,PRODUCT_PRICE,DISCOUNT_PRICE,DISCOUNT_RATE,PRODUCT_LINK
38,thim skin cover concealer duo 1.3g / 5g,20.00,7.49,63% OFF,https://jolse.com/product/thim-skin-cover-concealer-duo-13g-5g/66056/category/4722/display/1/
39,2aN Dual Cheek,19.00,9.49,50% OFF,https://jolse.com/product/2an-dual-cheek/56366/category/4722/display/1/
40,JAVIN DE SEOUL Wink Liquid Concealer SPF 50 PA+++ 6.5g,18.00,6.99,61% OFF,https://jolse.com/product/javin-de-seoul-wink-liquid-concealer-spf-50-pa-65g/55826/category/4722/display/1/
41,MISSHA Magic Cushion Cover Lasting SPF50+ PA+++ 15g,14.66,8.80,40% OFF,https://jolse.com/product/missha-magic-cushion-cover-lasting-spf50-pa-15g/14262/category/4722/display/1/
42,JAVIN DE SEOUL WINK LIP SHADE PRIMER 5g,16.00,6.59,59% OFF,https://jolse.com/product/javin-de-seoul-wink-lip-shade-primer-5g/83273/category/4722/display/1/
43,RiRe Moisture Tint Lip Balm 3.5g,10.00,4.49,55% OFF,https://jolse.com/product/rire-moisture-tint-lip-balm-35g/68902/category/4722/display/1/
44,A'PIEU Juicy-Pang Jelly Blusher 4.8g,14.07,5.35,62% OFF,https://jolse.com/product/apieu-juicy-pang-jelly-blusher-48g/18884/category/4722/display/1/
45,RiRe Bubble Bubble Lip Mask 12ml,8.50,4.42,48% OFF,https://jolse.com/product/rire-bubble-bubble-lip-mask-12ml/17638/category/4722/display/1/
46,eglips All Over Blusher 5g,19.00,7.89,58% OFF,https://jolse.com/product/eglips-all-over-blusher-5g/83264/category/4722/display/1/
47,TFIT Translucent Set Finishing Powder 7g,15.00,11.25,25% OFF,https://jolse.com/product/tfit-translucent-set-finishing-powder-7g/81696/category/4722/display/1/
48,ETUDE Curl Fix Mascara 8g,11.40,7.98,30% OFF,https://jolse.com/product/etude-curl-fix-mascara-8g/68898/category/4722/display/1/
49,BBIA Last Pen Eyeliner 0.6g (22AD),15.00,4.50,70% OFF,https://jolse.com/product/bbia-last-pen-eyeliner-06g-22ad/59724/category/4722/display/1/
50,Rire Real Tattoo Pen Eyeliner 0.8ml,11.00,4.99,55% OFF,https://jolse.com/product/rire-real-tattoo-pen-eyeliner-08ml/44387/category/4722/display/1/
51,RiRe Luxe Liquid Eyeliner 0.7g,9.00,4.79,47% OFF,https://jolse.com/product/rire-luxe-liquid-eyeliner-07g/26949/category/4722/display/1/
52,the SAEM Cover Perfection Tip Concealer 6.5g,6.00,3.60,40% OFF,https://jolse.com/product/the-saem-cover-perfection-tip-concealer-65g/21242/category/4722/display/1/
53,heimish Dailism Smudge Stop Mascara 9g,14.00,6.49,54% OFF,https://jolse.com/product/heimish-dailism-smudge-stop-mascara-9g/81090/category/4722/display/1/
54,Dinto Blur-Glowy Wooncho Cushion,37.00,15.49,58% OFF,https://jolse.com/product/dinto-blur-glowy-wooncho-cushion/80760/category/4722/display/1/
55,hince True Dimension Radiance Balm 10g,29.00,15.99,45% OFF,https://jolse.com/product/hince-true-dimension-radiance-balm-10g/78513/category/4722/display/1/
56,Unleashia Oh! Happy Day Lip Pencil 0.8g,14.00,5.99,57% OFF,https://jolse.com/product/unleashia-oh-happy-day-lip-pencil-08g/69658/category/4722/display/1/
57,MISSHA Cho Bo Yang BB Cream 50ml,28.00,14.00,50% OFF,https://jolse.com/product/missha-cho-bo-yang-bb-cream-50ml/67321/category/4722/display/1/
58,PURITO Cica Clearing BB Cream 30ml,14.40,12.24,15% OFF,https://jolse.com/product/purito-cica-clearing-bb-cream-30ml/34001/category/4722/display/1/
59,MISSHA Radiance Perfect Fit Cushion SPF50+ PA+++ 15g,26.00,11.96,54% OFF,https://jolse.com/product/missha-radiance-perfect-fit-cushion-spf50-pa-15g/28137/category/4722/display/1/
